domain,instance_name,r,a,r_a,r_a_2,r_a_3,a_r,a_r_2,a_r_3,f1,f2,f3,f_horn,n_facts,f_normal,f_constr,c_r,best_config,min_time,performance_ratio,bound,C2_sum,tightness,C3_minps,minps_ratio,span
GraphColouring,0129-wgc-n100-d30-p51.asp,18409,3878,4.747035,22.534337,106.971277,0.210658,0.044377,0.009348,0.010919,0.811016,0.0,0.978163,3177,0.178011,0.811071,0.811071,EOCLINGO-L,0.871474,1.5744462829642651,3298.0,9400.0,0.35085106382978726,200.0,16.49,6200.0
GraphColouring,0131-wgc-n100-d50-p39.asp,29749,5768,5.157594,26.600772,137.195972,0.193889,0.037593,0.007289,0.006757,0.819523,0.0,0.986487,5067,0.173687,0.819557,0.819557,EOCLINGO-L,1.041229,6.085747707756892,2552.0,9400.0,0.2714893617021277,200.0,12.76,6200.0
GraphColouring,0131-wgc-n100-d50-p48.asp,29749,5768,5.157594,26.600772,137.195972,0.193889,0.037593,0.007289,0.006757,0.819523,0.0,0.986487,5067,0.173687,0.819557,0.819557,EOCLINGO-L,0.985897,1.2782166899787706,3130.0,9400.0,0.33297872340425533,200.0,15.65,6200.0
GraphColouring,0131-wgc-n100-d50-p58.asp,29749,5768,5.157594,26.600772,137.195972,0.193889,0.037593,0.007289,0.006757,0.819523,0.0,0.986487,5067,0.173687,0.819557,0.819557,CLINGO-AMO,0.7126279999999999,1.367491875143834,3767.0,9400.0,0.40074468085106385,200.0,18.835,6200.0
GraphColouring,0133-wgc-n100-d50-p60.asp,30301,5860,5.170819,26.73737,138.254105,0.193393,0.037401,0.007233,0.006633,0.819775,0.0,0.986733,5159,0.173559,0.819808,0.819808,CLINGO-AMO,0.755329,1.3094095420670993,3841.0,9400.0,0.40861702127659577,200.0,19.205,6200.0
GraphColouring,0134-wgc-n100-d50-p9.asp,30577,5906,5.177277,26.804201,138.772781,0.193152,0.037308,0.007206,0.006574,0.819897,0.0,0.986853,5205,0.173496,0.81993,0.81993,WASP-AMO,0.6338959999999999,1.5564035740878632,598.0,9400.0,0.06361702127659574,200.0,2.99,6200.0
GraphColouring,0135-wgc-n100-d50-p29.asp,30925,5964,5.185278,26.887111,139.417156,0.192854,0.037193,0.007173,0.0065,0.820049,0.0,0.987001,5263,0.17342,0.820081,0.820081,EOCLINGO-L,12.320112,2.3177948382287434,1856.0,9400.0,0.1974468085106383,200.0,9.28,6200.0
GraphColouring,0137-wgc-n100-d50-p49.asp,30685,5924,5.179777,26.830092,138.973896,0.193058,0.037272,0.007196,0.00655,0.819945,0.0,0.986899,5223,0.173472,0.819977,0.819977,EOCLINGO-L,0.998592,1.3316319377683778,3172.0,9400.0,0.3374468085106383,200.0,15.86,6200.0
GraphColouring,0138-wgc-n100-d50-p68.asp,30805,5944,5.182537,26.85869,139.196154,0.192956,0.037232,0.007184,0.006525,0.819997,0.0,0.98695,5243,0.173446,0.820029,0.820029,CLINGO-AMO,0.724558,1.3685667676017654,4415.0,9400.0,0.4696808510638298,200.0,22.075,6200.0
GraphColouring,0139-wgc-n100-d50-p69.asp,30793,5942,5.182262,26.855838,139.173985,0.192966,0.037236,0.007185,0.006527,0.819992,0.0,0.986945,5241,0.173449,0.820024,0.820024,CLINGO-AMO,0.7438,1.3306426458725462,4437.0,9400.0,0.47202127659574467,200.0,22.185,6200.0
GraphColouring,0140-wgc-n100-d50-p21.asp,30877,5956,5.184184,26.875764,139.328906,0.192894,0.037208,0.007177,0.00651,0.820028,0.0,0.986981,5255,0.17343,0.82006,0.82006,EOCLINGO-L,0.997689,3.2366398747505483,1378.0,9400.0,0.14659574468085107,200.0,6.89,6200.0
GraphColouring,0140-wgc-n100-d50-p31.asp,30877,5956,5.184184,26.875764,139.328906,0.192894,0.037208,0.007177,0.00651,0.820028,0.0,0.986981,5255,0.17343,0.82006,0.82006,EOCLINGO-L,1.462456,1.2145541472700718,1999.0,9400.0,0.21265957446808512,200.0,9.995,6200.0
GraphColouring,0140-wgc-n100-d50-p9.asp,30877,5956,5.184184,26.875764,139.328906,0.192894,0.037208,0.007177,0.00651,0.820028,0.0,0.986981,5255,0.17343,0.82006,0.82006,WASP-AMO,0.769688,1.2868292087183375,578.0,9400.0,0.06148936170212766,200.0,2.89,6200.0
GraphColouring,0141-wgc-n100-d70-p21.asp,42157,7836,5.379913,28.943466,155.713337,0.185877,0.03455,0.006422,0.004768,0.823588,0.0,0.990464,7135,0.17162,0.823612,0.823612,EOCLINGO-L,1.186192,1.883908338616345,1394.0,9400.0,0.14829787234042552,200.0,6.97,6200.0
GraphColouring,0141-wgc-n100-d70-p50.asp,42157,7836,5.379913,28.943466,155.713337,0.185877,0.03455,0.006422,0.004768,0.823588,0.0,0.990464,7135,0.17162,0.823612,0.823612,CLINGO-AMO,0.951165,1.2393401775717146,3200.0,9400.0,0.3404255319148936,200.0,16.0,6200.0
GraphColouring,0141-wgc-n100-d70-p59.asp,42157,7836,5.379913,28.943466,155.713337,0.185877,0.03455,0.006422,0.004768,0.823588,0.0,0.990464,7135,0.17162,0.823612,0.823612,CLINGO-AMO,0.925786,1.2801705793779556,3804.0,9400.0,0.4046808510638298,200.0,19.02,6200.0
GraphColouring,0141-wgc-n100-d70-p68.asp,42157,7836,5.379913,28.943466,155.713337,0.185877,0.03455,0.006422,0.004768,0.823588,0.0,0.990464,7135,0.17162,0.823612,0.823612,CLINGO-AMO,0.709515,1.6655053099652577,4373.0,9400.0,0.4652127659574468,200.0,21.865,6200.0
GraphColouring,0141-wgc-n100-d70-p78.asp,42157,7836,5.379913,28.943466,155.713337,0.185877,0.03455,0.006422,0.004768,0.823588,0.0,0.990464,7135,0.17162,0.823612,0.823612,CLINGO-AMO,0.712705,1.654367515311384,5047.0,9400.0,0.5369148936170213,200.0,25.235,6200.0
GraphColouring,0142-wgc-n100-d70-p38.asp,42097,7826,5.379121,28.934941,155.644548,0.185904,0.03456,0.006425,0.004775,0.823574,0.0,0.990451,7125,0.171627,0.823598,0.823598,EOCLINGO-L,1.188069,1.3219897160855136,2493.0,9400.0,0.2652127659574468,200.0,12.465,6200.0
GraphColouring,0142-wgc-n100-d70-p50.asp,42097,7826,5.379121,28.934941,155.644548,0.185904,0.03456,0.006425,0.004775,0.823574,0.0,0.990451,7125,0.171627,0.823598,0.823598,CLINGO-AMO,0.904965,1.3089003442122071,3210.0,9400.0,0.3414893617021277,200.0,16.05,6200.0
GraphColouring,0143-wgc-n100-d70-p31.asp,42709,7928,5.387109,29.020943,156.338984,0.185628,0.034458,0.006396,0.004706,0.823714,0.0,0.990587,7227,0.171556,0.823737,0.823737,EOCLINGO-L,1.221896,1.2313576605537622,2028.0,9400.0,0.21574468085106382,200.0,10.14,6200.0
GraphColouring,0143-wgc-n100-d70-p59.asp,42709,7928,5.387109,29.020943,156.338984,0.185628,0.034458,0.006396,0.004706,0.823714,0.0,0.990587,7227,0.171556,0.823737,0.823737,CLINGO-AMO,0.994026,1.201561126167726,3814.0,9400.0,0.40574468085106385,200.0,19.07,6200.0
GraphColouring,0143-wgc-n100-d70-p71.asp,42709,7928,5.387109,29.020943,156.338984,0.185628,0.034458,0.006396,0.004706,0.823714,0.0,0.990587,7227,0.171556,0.823737,0.823737,CLINGO-AMO,0.7065,1.696621372965322,4565.0,9400.0,0.4856382978723404,200.0,22.825,6200.0
