domain,instance_name,r,a,r_a,r_a_2,r_a_3,a_r,a_r_2,a_r_3,f1,f2,f3,f_horn,n_facts,f_normal,f_constr,c_r,best_config,min_time
GraphColouring,0007-wgc-n20-d30-p48.asp,805,304,2.648026,7.012043,18.568075,0.37764,0.142612,0.053856,0.050932,0.720497,0.0,0.898137,163,0.227329,0.721739,0.721739,CLINGO-AMO,0.084897
GraphColouring,0007-wgc-n20-d30-p59.asp,805,304,2.648026,7.012043,18.568075,0.37764,0.142612,0.053856,0.050932,0.720497,0.0,0.898137,163,0.227329,0.721739,0.721739,AMOCLINGO-L,0.508808
GraphColouring,0007-wgc-n20-d30-p68.asp,805,304,2.648026,7.012043,18.568075,0.37764,0.142612,0.053856,0.050932,0.720497,0.0,0.898137,163,0.227329,0.721739,0.721739,CLINGO-AMO,0.475008
GraphColouring,0007-wgc-n20-d30-p80.asp,805,304,2.648026,7.012043,18.568075,0.37764,0.142612,0.053856,0.050932,0.720497,0.0,0.898137,163,0.227329,0.721739,0.721739,CLINGO-AMO,0.198714
GraphColouring,0007-wgc-n20-d30-p90.asp,805,304,2.648026,7.012043,18.568075,0.37764,0.142612,0.053856,0.050932,0.720497,0.0,0.898137,163,0.227329,0.721739,0.721739,CLINGO-AMO,0.10294
GraphColouring,0008-wgc-n20-d30-p19.asp,829,308,2.691558,7.244487,19.49896,0.371532,0.138036,0.051285,0.049457,0.723764,0.0,0.901086,167,0.225573,0.72497,0.72497,CLINGO-AMO,0.083552
GraphColouring,0008-wgc-n20-d30-p31.asp,829,308,2.691558,7.244487,19.49896,0.371532,0.138036,0.051285,0.049457,0.723764,0.0,0.901086,167,0.225573,0.72497,0.72497,CLINGO-AMO,0.084077
GraphColouring,0008-wgc-n20-d30-p40.asp,829,308,2.691558,7.244487,19.49896,0.371532,0.138036,0.051285,0.049457,0.723764,0.0,0.901086,167,0.225573,0.72497,0.72497,CLINGO-AMO,0.089889
GraphColouring,0008-wgc-n20-d30-p48.asp,829,308,2.691558,7.244487,19.49896,0.371532,0.138036,0.051285,0.049457,0.723764,0.0,0.901086,167,0.225573,0.72497,0.72497,EOCLINGO-L,0.506783
GraphColouring,0008-wgc-n20-d30-p61.asp,829,308,2.691558,7.244487,19.49896,0.371532,0.138036,0.051285,0.049457,0.723764,0.0,0.901086,167,0.225573,0.72497,0.72497,EOCLINGO-INF-MR,0.508391
GraphColouring,0008-wgc-n20-d30-p68.asp,829,308,2.691558,7.244487,19.49896,0.371532,0.138036,0.051285,0.049457,0.723764,0.0,0.901086,167,0.225573,0.72497,0.72497,CLINGO-AMO,0.406217
GraphColouring,0008-wgc-n20-d30-p79.asp,829,308,2.691558,7.244487,19.49896,0.371532,0.138036,0.051285,0.049457,0.723764,0.0,0.901086,167,0.225573,0.72497,0.72497,WASP-AMO,0.167572
GraphColouring,0008-wgc-n20-d30-p8.asp,829,308,2.691558,7.244487,19.49896,0.371532,0.138036,0.051285,0.049457,0.723764,0.0,0.901086,167,0.225573,0.72497,0.72497,CLINGO-AMO,0.0829699999999999
GraphColouring,0008-wgc-n20-d30-p89.asp,829,308,2.691558,7.244487,19.49896,0.371532,0.138036,0.051285,0.049457,0.723764,0.0,0.901086,167,0.225573,0.72497,0.72497,CLINGO-AMO,0.114805
GraphColouring,0009-wgc-n20-d30-p18.asp,793,302,2.625828,6.894972,18.105009,0.380832,0.145033,0.055233,0.051702,0.718789,0.0,0.896595,161,0.228247,0.72005,0.72005,CLINGO-AMO,0.083443
GraphColouring,0009-wgc-n20-d30-p31.asp,793,302,2.625828,6.894972,18.105009,0.380832,0.145033,0.055233,0.051702,0.718789,0.0,0.896595,161,0.228247,0.72005,0.72005,CLINGO-AMO,0.083565
GraphColouring,0009-wgc-n20-d30-p41.asp,793,302,2.625828,6.894972,18.105009,0.380832,0.145033,0.055233,0.051702,0.718789,0.0,0.896595,161,0.228247,0.72005,0.72005,CLINGO-AMO,0.083581
GraphColouring,0009-wgc-n20-d30-p48.asp,793,302,2.625828,6.894972,18.105009,0.380832,0.145033,0.055233,0.051702,0.718789,0.0,0.896595,161,0.228247,0.72005,0.72005,CLINGO-AMO,0.086618
GraphColouring,0009-wgc-n20-d30-p58.asp,793,302,2.625828,6.894972,18.105009,0.380832,0.145033,0.055233,0.051702,0.718789,0.0,0.896595,161,0.228247,0.72005,0.72005,EOCLINGO-L,0.506677
GraphColouring,0009-wgc-n20-d30-p68.asp,793,302,2.625828,6.894972,18.105009,0.380832,0.145033,0.055233,0.051702,0.718789,0.0,0.896595,161,0.228247,0.72005,0.72005,AMOCLINGO-L,0.5041439999999999
GraphColouring,0009-wgc-n20-d30-p79.asp,793,302,2.625828,6.894972,18.105009,0.380832,0.145033,0.055233,0.051702,0.718789,0.0,0.896595,161,0.228247,0.72005,0.72005,CLINGO-AMO,0.087211
GraphColouring,0009-wgc-n20-d30-p89.asp,793,302,2.625828,6.894972,18.105009,0.380832,0.145033,0.055233,0.051702,0.718789,0.0,0.896595,161,0.228247,0.72005,0.72005,CLINGO-AMO,0.105682
GraphColouring,0009-wgc-n20-d30-p9.asp,793,302,2.625828,6.894972,18.105009,0.380832,0.145033,0.055233,0.051702,0.718789,0.0,0.896595,161,0.228247,0.72005,0.72005,CLINGO-AMO,0.084511
GraphColouring,0010-wgc-n20-d30-p11.asp,925,324,2.854938,8.150673,23.269667,0.35027,0.122689,0.042974,0.044324,0.735135,0.0,0.911351,183,0.219459,0.736216,0.736216,CLINGO-AMO,0.083777
GraphColouring,0010-wgc-n20-d30-p19.asp,925,324,2.854938,8.150673,23.269667,0.35027,0.122689,0.042974,0.044324,0.735135,0.0,0.911351,183,0.219459,0.736216,0.736216,CLINGO-AMO,0.085362
GraphColouring,0010-wgc-n20-d30-p29.asp,925,324,2.854938,8.150673,23.269667,0.35027,0.122689,0.042974,0.044324,0.735135,0.0,0.911351,183,0.219459,0.736216,0.736216,CLINGO-AMO,0.083496
GraphColouring,0010-wgc-n20-d30-p39.asp,925,324,2.854938,8.150673,23.269667,0.35027,0.122689,0.042974,0.044324,0.735135,0.0,0.911351,183,0.219459,0.736216,0.736216,CLINGO-AMO,0.084656
GraphColouring,0010-wgc-n20-d30-p49.asp,925,324,2.854938,8.150673,23.269667,0.35027,0.122689,0.042974,0.044324,0.735135,0.0,0.911351,183,0.219459,0.736216,0.736216,EOCLINGO-INF-MR,0.510668
GraphColouring,0010-wgc-n20-d30-p60.asp,925,324,2.854938,8.150673,23.269667,0.35027,0.122689,0.042974,0.044324,0.735135,0.0,0.911351,183,0.219459,0.736216,0.736216,CLINGO-AMO,0.094168
GraphColouring,0010-wgc-n20-d30-p68.asp,925,324,2.854938,8.150673,23.269667,0.35027,0.122689,0.042974,0.044324,0.735135,0.0,0.911351,183,0.219459,0.736216,0.736216,CLINGO-AMO,0.089939
GraphColouring,0010-wgc-n20-d30-p80.asp,925,324,2.854938,8.150673,23.269667,0.35027,0.122689,0.042974,0.044324,0.735135,0.0,0.911351,183,0.219459,0.736216,0.736216,WASP-AMO,0.17061
GraphColouring,0010-wgc-n20-d30-p88.asp,925,324,2.854938,8.150673,23.269667,0.35027,0.122689,0.042974,0.044324,0.735135,0.0,0.911351,183,0.219459,0.736216,0.736216,CLINGO-AMO,0.145995
GraphColouring,0011-wgc-n20-d50-p11.asp,1345,394,3.413706,11.653386,39.781228,0.292937,0.085812,0.025137,0.030483,0.765799,0.0,0.939033,253,0.202974,0.766543,0.766543,CLINGO-AMO,0.084434
GraphColouring,0011-wgc-n20-d50-p20.asp,1345,394,3.413706,11.653386,39.781228,0.292937,0.085812,0.025137,0.030483,0.765799,0.0,0.939033,253,0.202974,0.766543,0.766543,CLINGO-AMO,0.087989
GraphColouring,0011-wgc-n20-d50-p29.asp,1345,394,3.413706,11.653386,39.781228,0.292937,0.085812,0.025137,0.030483,0.765799,0.0,0.939033,253,0.202974,0.766543,0.766543,CLINGO-AMO,0.088804
GraphColouring,0011-wgc-n20-d50-p41.asp,1345,394,3.413706,11.653386,39.781228,0.292937,0.085812,0.025137,0.030483,0.765799,0.0,0.939033,253,0.202974,0.766543,0.766543,AMOCLINGO-L,0.514876
GraphColouring,0011-wgc-n20-d50-p51.asp,1345,394,3.413706,11.653386,39.781228,0.292937,0.085812,0.025137,0.030483,0.765799,0.0,0.939033,253,0.202974,0.766543,0.766543,CLINGO-AMO,0.1142159999999999
GraphColouring,0011-wgc-n20-d50-p58.asp,1345,394,3.413706,11.653386,39.781228,0.292937,0.085812,0.025137,0.030483,0.765799,0.0,0.939033,253,0.202974,0.766543,0.766543,CLINGO-AMO,0.1298409999999999
GraphColouring,0011-wgc-n20-d50-p68.asp,1345,394,3.413706,11.653386,39.781228,0.292937,0.085812,0.025137,0.030483,0.765799,0.0,0.939033,253,0.202974,0.766543,0.766543,CLINGO-AMO,0.23241
GraphColouring,0011-wgc-n20-d50-p78.asp,1345,394,3.413706,11.653386,39.781228,0.292937,0.085812,0.025137,0.030483,0.765799,0.0,0.939033,253,0.202974,0.766543,0.766543,CLINGO-AMO,0.093835
GraphColouring,0011-wgc-n20-d50-p89.asp,1345,394,3.413706,11.653386,39.781228,0.292937,0.085812,0.025137,0.030483,0.765799,0.0,0.939033,253,0.202974,0.766543,0.766543,CLINGO-AMO,0.0966969999999999
GraphColouring,0012-wgc-n20-d50-p19.asp,1273,382,3.332461,11.105295,37.007958,0.300079,0.090047,0.027021,0.032207,0.76198,0.0,0.935585,241,0.205027,0.762765,0.762765,CLINGO-AMO,0.085045
GraphColouring,0012-wgc-n20-d50-p30.asp,1273,382,3.332461,11.105295,37.007958,0.300079,0.090047,0.027021,0.032207,0.76198,0.0,0.935585,241,0.205027,0.762765,0.762765,CLINGO-AMO,0.085786
GraphColouring,0012-wgc-n20-d50-p39.asp,1273,382,3.332461,11.105295,37.007958,0.300079,0.090047,0.027021,0.032207,0.76198,0.0,0.935585,241,0.205027,0.762765,0.762765,EOCLINGO-INF-MR,0.515516
GraphColouring,0012-wgc-n20-d50-p48.asp,1273,382,3.332461,11.105295,37.007958,0.300079,0.090047,0.027021,0.032207,0.76198,0.0,0.935585,241,0.205027,0.762765,0.762765,CLINGO-AMO,0.47272
GraphColouring,0012-wgc-n20-d50-p59.asp,1273,382,3.332461,11.105295,37.007958,0.300079,0.090047,0.027021,0.032207,0.76198,0.0,0.935585,241,0.205027,0.762765,0.762765,CLINGO-AMO,0.0874
GraphColouring,0012-wgc-n20-d50-p68.asp,1273,382,3.332461,11.105295,37.007958,0.300079,0.090047,0.027021,0.032207,0.76198,0.0,0.935585,241,0.205027,0.762765,0.762765,CLINGO-AMO,0.366338
GraphColouring,0012-wgc-n20-d50-p79.asp,1273,382,3.332461,11.105295,37.007958,0.300079,0.090047,0.027021,0.032207,0.76198,0.0,0.935585,241,0.205027,0.762765,0.762765,CLINGO-AMO,0.183853
GraphColouring,0012-wgc-n20-d50-p8.asp,1273,382,3.332461,11.105295,37.007958,0.300079,0.090047,0.027021,0.032207,0.76198,0.0,0.935585,241,0.205027,0.762765,0.762765,CLINGO-AMO,0.084053
GraphColouring,0012-wgc-n20-d50-p91.asp,1273,382,3.332461,11.105295,37.007958,0.300079,0.090047,0.027021,0.032207,0.76198,0.0,0.935585,241,0.205027,0.762765,0.762765,CLINGO-AMO,0.096904
GraphColouring,0013-wgc-n20-d50-p11.asp,1237,376,3.289894,10.8234,35.607835,0.303961,0.092392,0.028084,0.033145,0.759903,0.0,0.933711,235,0.206144,0.760711,0.760711,CLINGO-AMO,0.085964
GraphColouring,0013-wgc-n20-d50-p19.asp,1237,376,3.289894,10.8234,35.607835,0.303961,0.092392,0.028084,0.033145,0.759903,0.0,0.933711,235,0.206144,0.760711,0.760711,CLINGO-AMO,0.083231
GraphColouring,0013-wgc-n20-d50-p28.asp,1237,376,3.289894,10.8234,35.607835,0.303961,0.092392,0.028084,0.033145,0.759903,0.0,0.933711,235,0.206144,0.760711,0.760711,CLINGO-AMO,0.084074
GraphColouring,0013-wgc-n20-d50-p39.asp,1237,376,3.289894,10.8234,35.607835,0.303961,0.092392,0.028084,0.033145,0.759903,0.0,0.933711,235,0.206144,0.760711,0.760711,EOCLINGO-L,0.513641
GraphColouring,0013-wgc-n20-d50-p50.asp,1237,376,3.289894,10.8234,35.607835,0.303961,0.092392,0.028084,0.033145,0.759903,0.0,0.933711,235,0.206144,0.760711,0.760711,AMOCLINGO-L,0.512578
GraphColouring,0013-wgc-n20-d50-p60.asp,1237,376,3.289894,10.8234,35.607835,0.303961,0.092392,0.028084,0.033145,0.759903,0.0,0.933711,235,0.206144,0.760711,0.760711,WASP-AMO,0.25206
GraphColouring,0013-wgc-n20-d50-p68.asp,1237,376,3.289894,10.8234,35.607835,0.303961,0.092392,0.028084,0.033145,0.759903,0.0,0.933711,235,0.206144,0.760711,0.760711,CLINGO-AMO,0.308706
GraphColouring,0013-wgc-n20-d50-p80.asp,1237,376,3.289894,10.8234,35.607835,0.303961,0.092392,0.028084,0.033145,0.759903,0.0,0.933711,235,0.206144,0.760711,0.760711,CLINGO-AMO,0.187826
GraphColouring,0013-wgc-n20-d50-p91.asp,1237,376,3.289894,10.8234,35.607835,0.303961,0.092392,0.028084,0.033145,0.759903,0.0,0.933711,235,0.206144,0.760711,0.760711,CLINGO-AMO,0.088225
