domain,instance_name,r,a,r_a,r_a_2,r_a_3,a_r,a_r_2,a_r_3,f1,f2,f3,f_horn,n_facts,f_normal,f_constr,c_r,best_config,min_time,performance_ratio,bound,C1_mps,C2_sum,C3_minps,span,rho,mps_ratio,minps_ratio,tightness
GraphColouring,0141-wgc-n100-d70-p59.asp,42157,7836,5.379913,28.943466,155.713337,0.185877,0.03455,0.006422,0.004768,0.823588,0.0,0.990464,7135,0.17162,0.823612,0.823612,CLINGO-AMO,0.925786,1.2801705793779556,3804.0,6400.0,9400.0,200.0,6200.0,0.6808510638297872,0.594375,19.02,0.4046808510638298
GraphColouring,0141-wgc-n100-d70-p68.asp,42157,7836,5.379913,28.943466,155.713337,0.185877,0.03455,0.006422,0.004768,0.823588,0.0,0.990464,7135,0.17162,0.823612,0.823612,CLINGO-AMO,0.709515,1.6655053099652577,4373.0,6400.0,9400.0,200.0,6200.0,0.6808510638297872,0.68328125,21.865,0.4652127659574468
GraphColouring,0141-wgc-n100-d70-p78.asp,42157,7836,5.379913,28.943466,155.713337,0.185877,0.03455,0.006422,0.004768,0.823588,0.0,0.990464,7135,0.17162,0.823612,0.823612,CLINGO-AMO,0.712705,1.654367515311384,5047.0,6400.0,9400.0,200.0,6200.0,0.6808510638297872,0.78859375,25.235,0.5369148936170213
GraphColouring,0142-wgc-n100-d70-p50.asp,42097,7826,5.379121,28.934941,155.644548,0.185904,0.03456,0.006425,0.004775,0.823574,0.0,0.990451,7125,0.171627,0.823598,0.823598,CLINGO-AMO,0.904965,1.3089003442122071,3210.0,6400.0,9400.0,200.0,6200.0,0.6808510638297872,0.5015625,16.05,0.3414893617021277
GraphColouring,0143-wgc-n100-d70-p59.asp,42709,7928,5.387109,29.020943,156.338984,0.185628,0.034458,0.006396,0.004706,0.823714,0.0,0.990587,7227,0.171556,0.823737,0.823737,CLINGO-AMO,0.994026,1.201561126167726,3814.0,6400.0,9400.0,200.0,6200.0,0.6808510638297872,0.5959375,19.07,0.40574468085106385
GraphColouring,0143-wgc-n100-d70-p71.asp,42709,7928,5.387109,29.020943,156.338984,0.185628,0.034458,0.006396,0.004706,0.823714,0.0,0.990587,7227,0.171556,0.823737,0.823737,CLINGO-AMO,0.7065,1.696621372965322,4565.0,6400.0,9400.0,200.0,6200.0,0.6808510638297872,0.71328125,22.825,0.4856382978723404
GraphColouring,0144-wgc-n100-d70-p61.asp,42505,7894,5.384469,28.992509,156.109271,0.185719,0.034492,0.006406,0.004729,0.823668,0.0,0.990542,7193,0.17158,0.823691,0.823691,CLINGO-AMO,0.754814,1.5810888510282006,3938.0,6400.0,9400.0,200.0,6200.0,0.6808510638297872,0.6153125,19.69,0.41893617021276597
GraphColouring,0144-wgc-n100-d70-p71.asp,42505,7894,5.384469,28.992509,156.109271,0.185719,0.034492,0.006406,0.004729,0.823668,0.0,0.990542,7193,0.17158,0.823691,0.823691,CLINGO-AMO,0.691496,1.7225349098187115,4600.0,6400.0,9400.0,200.0,6200.0,0.6808510638297872,0.71875,23.0,0.48936170212765956
GraphColouring,0145-wgc-n100-d70-p20.asp,41857,7786,5.375931,28.900636,155.367829,0.186014,0.034601,0.006436,0.004802,0.823518,0.0,0.990396,7085,0.171656,0.823542,0.823542,EOCLINGO-INF-MR,8.045446,1.8293986436550564,1312.0,6400.0,9400.0,200.0,6200.0,0.6808510638297872,0.205,6.56,0.13957446808510637
GraphColouring,0145-wgc-n100-d70-p28.asp,41857,7786,5.375931,28.900636,155.367829,0.186014,0.034601,0.006436,0.004802,0.823518,0.0,0.990396,7085,0.171656,0.823542,0.823542,EOCLINGO-L,1.289109,1.5643285401001776,1818.0,6400.0,9400.0,200.0,6200.0,0.6808510638297872,0.2840625,9.09,0.19340425531914893
