domain,instance_name,r,a,r_a,r_a_2,r_a_3,a_r,a_r_2,a_r_3,f1,f2,f3,f_horn,n_facts,f_normal,f_constr,c_r,best_config,min_time,bound,C1_mps,C2_sum,C3_minps,span,rho,mps_ratio,minps_ratio,tightness
GraphColouring,0006-wgc-n20-d30-p58.asp,697,286,2.437063,5.939276,14.474389,0.41033,0.168371,0.069088,0.058824,0.703013,0.0,0.882353,145,0.236729,0.704448,0.704448,AMOCLINGO-L,0.504234,753.0,1280.0,1880.0,40.0,1240.0,0.6808510638297872,0.58828125,18.825,0.400531914893617
GraphColouring,0006-wgc-n20-d30-p69.asp,697,286,2.437063,5.939276,14.474389,0.41033,0.168371,0.069088,0.058824,0.703013,0.0,0.882353,145,0.236729,0.704448,0.704448,CLINGO-AMO,0.190911,884.0,1280.0,1880.0,40.0,1240.0,0.6808510638297872,0.690625,22.1,0.4702127659574468
GraphColouring,0006-wgc-n20-d30-p79.asp,697,286,2.437063,5.939276,14.474389,0.41033,0.168371,0.069088,0.058824,0.703013,0.0,0.882353,145,0.236729,0.704448,0.704448,WASP-AMO,0.138419,1016.0,1280.0,1880.0,40.0,1240.0,0.6808510638297872,0.79375,25.4,0.5404255319148936
GraphColouring,0006-wgc-n20-d30-p90.asp,697,286,2.437063,5.939276,14.474389,0.41033,0.168371,0.069088,0.058824,0.703013,0.0,0.882353,145,0.236729,0.704448,0.704448,CLINGO-AMO,0.105745,1157.0,1280.0,1880.0,40.0,1240.0,0.6808510638297872,0.90390625,28.925,0.6154255319148936
GraphColouring,0007-wgc-n20-d30-p11.asp,805,304,2.648026,7.012043,18.568075,0.37764,0.142612,0.053856,0.050932,0.720497,0.0,0.898137,163,0.227329,0.721739,0.721739,CLINGO-AMO,0.083507,142.0,1280.0,1880.0,40.0,1240.0,0.6808510638297872,0.1109375,3.55,0.07553191489361702
GraphColouring,0007-wgc-n20-d30-p18.asp,805,304,2.648026,7.012043,18.568075,0.37764,0.142612,0.053856,0.050932,0.720497,0.0,0.898137,163,0.227329,0.721739,0.721739,CLINGO-AMO,0.083631,231.0,1280.0,1880.0,40.0,1240.0,0.6808510638297872,0.18046875,5.775,0.12287234042553191
GraphColouring,0007-wgc-n20-d30-p29.asp,805,304,2.648026,7.012043,18.568075,0.37764,0.142612,0.053856,0.050932,0.720497,0.0,0.898137,163,0.227329,0.721739,0.721739,CLINGO-AMO,0.083758,373.0,1280.0,1880.0,40.0,1240.0,0.6808510638297872,0.29140625,9.325,0.19840425531914893
GraphColouring,0007-wgc-n20-d30-p40.asp,805,304,2.648026,7.012043,18.568075,0.37764,0.142612,0.053856,0.050932,0.720497,0.0,0.898137,163,0.227329,0.721739,0.721739,CLINGO-AMO,0.084458,523.0,1280.0,1880.0,40.0,1240.0,0.6808510638297872,0.40859375,13.075,0.2781914893617021
GraphColouring,0007-wgc-n20-d30-p48.asp,805,304,2.648026,7.012043,18.568075,0.37764,0.142612,0.053856,0.050932,0.720497,0.0,0.898137,163,0.227329,0.721739,0.721739,CLINGO-AMO,0.084897,614.0,1280.0,1880.0,40.0,1240.0,0.6808510638297872,0.4796875,15.35,0.32659574468085106
GraphColouring,0007-wgc-n20-d30-p59.asp,805,304,2.648026,7.012043,18.568075,0.37764,0.142612,0.053856,0.050932,0.720497,0.0,0.898137,163,0.227329,0.721739,0.721739,AMOCLINGO-L,0.508808,755.0,1280.0,1880.0,40.0,1240.0,0.6808510638297872,0.58984375,18.875,0.4015957446808511
GraphColouring,0007-wgc-n20-d30-p68.asp,805,304,2.648026,7.012043,18.568075,0.37764,0.142612,0.053856,0.050932,0.720497,0.0,0.898137,163,0.227329,0.721739,0.721739,CLINGO-AMO,0.475008,882.0,1280.0,1880.0,40.0,1240.0,0.6808510638297872,0.6890625,22.05,0.46914893617021275
GraphColouring,0007-wgc-n20-d30-p80.asp,805,304,2.648026,7.012043,18.568075,0.37764,0.142612,0.053856,0.050932,0.720497,0.0,0.898137,163,0.227329,0.721739,0.721739,CLINGO-AMO,0.198714,1035.0,1280.0,1880.0,40.0,1240.0,0.6808510638297872,0.80859375,25.875,0.550531914893617
GraphColouring,0007-wgc-n20-d30-p90.asp,805,304,2.648026,7.012043,18.568075,0.37764,0.142612,0.053856,0.050932,0.720497,0.0,0.898137,163,0.227329,0.721739,0.721739,CLINGO-AMO,0.10294,1157.0,1280.0,1880.0,40.0,1240.0,0.6808510638297872,0.90390625,28.925,0.6154255319148936
GraphColouring,0008-wgc-n20-d30-p19.asp,829,308,2.691558,7.244487,19.49896,0.371532,0.138036,0.051285,0.049457,0.723764,0.0,0.901086,167,0.225573,0.72497,0.72497,CLINGO-AMO,0.083552,254.0,1280.0,1880.0,40.0,1240.0,0.6808510638297872,0.1984375,6.35,0.1351063829787234
GraphColouring,0008-wgc-n20-d30-p31.asp,829,308,2.691558,7.244487,19.49896,0.371532,0.138036,0.051285,0.049457,0.723764,0.0,0.901086,167,0.225573,0.72497,0.72497,CLINGO-AMO,0.084077,408.0,1280.0,1880.0,40.0,1240.0,0.6808510638297872,0.31875,10.2,0.2170212765957447
GraphColouring,0008-wgc-n20-d30-p40.asp,829,308,2.691558,7.244487,19.49896,0.371532,0.138036,0.051285,0.049457,0.723764,0.0,0.901086,167,0.225573,0.72497,0.72497,CLINGO-AMO,0.089889,524.0,1280.0,1880.0,40.0,1240.0,0.6808510638297872,0.409375,13.1,0.27872340425531916
GraphColouring,0008-wgc-n20-d30-p48.asp,829,308,2.691558,7.244487,19.49896,0.371532,0.138036,0.051285,0.049457,0.723764,0.0,0.901086,167,0.225573,0.72497,0.72497,EOCLINGO-L,0.506783,620.0,1280.0,1880.0,40.0,1240.0,0.6808510638297872,0.484375,15.5,0.32978723404255317
